,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,age_group
202,27.0,1.0,9.0,15.0,5.0,4.0,2.0,4.166666666666667,180.34,68.94604024,187.96,29.0,46.0,64.0,42.18409041,71.21400209000001,205.0,96.0,24.04039561,24.04039561,142.88159655,156.0,21.2,0.42061878969483224,2.0328947368421053,1.611842105263158,20-29
203,36.0,1.0,7.0,11.0,7.0,5.0,3.0,4.0,172.72,73.48196394,182.88,17.0,36.0,37.0,22.22602613,35.83379723,130.0,154.4,22.679618500000004,22.679618500000004,124.73790175,231.4,24.6,0.23134928747795797,1.4876543209876543,1.3024691358024691,30-39
204,39.0,2.0,0.0,15.0,7.0,5.0,2.0,5.416666666666667,162.56,52.163122550000004,165.1,25.0,57.0,75.0,31.751465900000003,34.926612490000004,330.0,260.0,15.875732950000002,15.875732950000002,79.37866475,480.0,19.7,0.4792657873584295,1.6695652173913043,1.608695652173913,30-39
205,33.0,1.0,10.0,4.0,7.0,4.0,1.0,2.5,170.18,70.30681735,180.34,15.0,30.0,52.0,40.8233133,38.55535145,152.0,85.0,24.856861876,24.856861876000004,96.16158244,90.0,24.3,0.21335057630794604,1.5483870967741935,1.5806451612903227,30-39
206,41.0,1.0,6.0,11.0,8.0,4.0,1.0,3.8333333333333335,187.96,72.57477920000001,193.04,10.0,11.0,24.0,27.2155422,36.287389600000004,46.0,93.8,18.960161066,18.052976326,106.59420695000001,150.8,20.5,0.13778891386554848,1.5,1.375,40-49
207,34.0,2.0,5.0,9.0,5.0,4.0,3.0,5.416666666666667,165.1,58.9670081,165.1,11.0,15.0,40.0,22.6796185,15.42214058,91.0,113.0,14.242800418000002,14.696392788,79.83225712,126.0,21.6,0.1865449910795118,1.2615384615384615,1.3846153846153846,30-39
208,32.0,2.0,4.0,9.0,4.0,4.0,3.0,12.5,157.48,50.80234544,161.29,6.0,15.0,18.0,1.81436948,7.71107029,36.0,80.0,11.793401620000001,10.886216880000001,71.849031408,183.0,20.5,0.11810478331332727,1.1517857142857144,1.0357142857142858,30-39
209,32.0,2.0,4.0,9.0,4.0,4.0,3.0,12.5,157.48,50.80234544,161.29,6.0,15.0,18.0,1.81436948,7.71107029,36.0,80.0,11.793401620000001,10.886216880000001,71.849031408,183.0,20.5,0.11810478331332727,1.1517857142857144,1.0357142857142858,30-39
210,31.0,1.0,6.0,9.0,6.0,2.0,1.0,2.5,172.72,75.74992579,173.99,9.0,26.0,31.0,20.41165665,27.2155422,161.0,128.0,23.586803240000002,22.861055448000002,112.49090776,107.0,25.4,0.11881199758466456,1.3592814371257484,1.2694610778443114,30-39
211,42.0,1.0,0.0,11.0,8.0,3.0,2.0,2.5,182.88,71.66759446,190.5,14.0,31.0,54.0,38.55535145,34.01942775,172.0,147.6,25.219735772000003,24.766143402000004,135.62411863000003,249.0,21.4,0.1953463082650814,1.4746835443037976,1.5379746835443038,40-49
212,25.0,2.0,4.0,9.0,4.0,3.0,2.0,3.3333333333333335,162.56,56.24545388,167.64000000000001,14.0,31.0,65.0,24.04039561,28.576319310000002,130.0,131.0,15.875732950000002,15.875732950000002,92.98643585,210.0,21.3,0.2489090056926037,1.5080645161290323,1.4274193548387097,20-29
213,22.0,1.0,0.0,9.0,4.0,2.0,1.0,2.5,187.96,77.1107029,193.04,16.0,35.0,32.0,19.50447191,31.751465900000003,67.0,105.0,21.228122915999997,20.048782754,136.077711,148.0,21.8,0.20749389382106123,1.4117647058823528,1.2529411764705882,20-29
